Summary,Issue Type,Priority,Story Points,Epic Name,Sprint,Description,Acceptance Criteria,Labels,Component,Assignee
Create canvas persistence,Story,High,5,Sprint 6: Report Management,Sprint 6,"Implement Canvas entity to store editor state (blocks, tags, scroll position). POST/GET /reports/:id/canvas endpoints.","- Canvas entity with one-to-one report relationship
- canvas_data JSONB field stores full state
- POST /reports/:id/canvas saves state
- GET /reports/:id/canvas retrieves state
- Auto-save on frontend (debounced)
- Version field for future conflict resolution",reports;backend,Backend,
Implement report listing with filters,Task,Medium,3,Sprint 6: Report Management,Sprint 6,"Add filtering and sorting to GET /reports: by status, created date, taxonomy. Pagination support.","- Query parameters: status, sort, page, limit
- Filter by status (draft, review, approved, published)
- Sort by createdAt, updatedAt, title
- Pagination (default 20 per page, max 100)
- Total count returned
- Performance tested with 1000+ reports",reports;backend,Backend,
Create report sharing (workspace-level),Task,Low,3,Sprint 6: Report Management,Sprint 6,"Reports are automatically shared within workspace. All workspace members can view/edit based on role.","- No separate sharing table (workspace-scoped by default)
- Viewer role: read-only
- Editor role: create/edit own reports
- Admin role: manage all reports
- Documented in API_ENDPOINTS.md",reports;backend,Backend,
Implement tag entity and CRUD,Story,High,5,Sprint 7: Tagging System,Sprint 7,"Create Tag entity with concept_id, value, unit, decimals, context reference, text position.","- Tag entity with all XBRL fields
- Relationships: report, context, created_by
- CRUD endpoints: POST/GET/PATCH/DELETE /tags
- Validation: concept_id format, unit codes
- start_index/end_index for text position
- page_number for multi-page PDFs",tagging;backend,Backend,
Create tag listing with grouping,Task,Medium,3,Sprint 7: Tagging System,Sprint 7,"GET /reports/:reportId/tags endpoint with grouping by page, concept, context.","- Returns all tags for a report
- Optional grouping: by page, by concept, by context
- Includes full context details
- Includes creator information
- Sorted by creation time or page number",tagging;backend,Backend,
Implement tag validation,Task,Medium,3,Sprint 7: Tagging System,Sprint 7,"Validate tags against taxonomy schema: concept exists, unit matches, decimals are appropriate.","- Concept ID validated against taxonomy
- Unit validated against allowed units for concept
- Decimals within reasonable range (-6 to 6)
- Value matches expected data type
- Returns validation errors with details",tagging;backend,Backend,
Add tag conflict detection,Task,Medium,5,Sprint 7: Tagging System,Sprint 7,"Detect overlapping tags on same text. Allow overlaps but warn user. Track by start/end index.","- Check for overlapping text positions
- Allow overlaps (multiple concepts on same text)
- Return warning if overlap detected
- Prioritize by creation time (older tags first)
- Visualize overlaps in frontend",tagging;backend,Backend,
Integrate OpenAI API for recommendations,Story,High,8,Sprint 8: AI Integration,Sprint 8,"Set up OpenAI API client. Create prompt templates for XBRL concept recommendation based on selected text.","- OpenAI API key configured
- Prompt engineering for concept suggestion
- Input: selected text, surrounding context, taxonomy
- Output: concept suggestions with confidence scores
- Handles rate limiting (max 10 req/min per workspace)
- Error handling for API failures",ai;backend,Backend,
Create AI recommendation endpoint,Story,High,8,Sprint 8: AI Integration,Sprint 8,"POST /ai/recommend-concepts endpoint. Takes selected text, returns concept suggestions with confidence.","- Endpoint accepts text, reportId, taxonomyId
- Calls OpenAI with engineered prompt
- Returns array of suggestions: conceptId, label, confidence, reasoning
- Suggests value extraction and unit
- Suggests context (period)
- Response time: <5 seconds",ai;backend,Backend,
Implement context suggestion,Task,Medium,5,Sprint 8: AI Integration,Sprint 8,"POST /ai/recommend-context endpoint. Analyzes text to suggest XBRL context (entity, period, dimensions).","- Analyzes surrounding text for date references
- Suggests period type (instant vs duration)
- Extracts date ranges
- Suggests dimensions if mentioned
- Returns confidence score and reasoning",ai;backend,Backend,
Implement XBRL context entity and CRUD,Story,High,5,Sprint 9: Context Management,Sprint 9,"Create XBRLContext entity with entity, period (instant/duration), dimensions. CRUD endpoints.","- XBRLContext entity created
- Fields: contextId, entityIdentifier, entityScheme, periodType, dates, dimensions (JSONB)
- POST /reports/:reportId/contexts creates context
- GET /reports/:reportId/contexts lists all contexts
- Context reused across tags
- Validation: date ranges, entity format",xbrl;backend,Backend,
Add context validation,Task,Medium,3,Sprint 9: Context Management,Sprint 9,"Validate context data: period dates are valid, instant vs duration logic, entity identifier format.","- Instant: requires instant_date only
- Duration: requires start_date and end_date
- end_date must be after start_date
- Entity identifier validated (numeric or registered format)
- Dimension values validated against taxonomy",xbrl;backend,Backend,
Create context templates,Task,Low,2,Sprint 9: Context Management,Sprint 9,"Provide common context templates (annual report, quarterly, monthly) for quick creation.","- Templates stored in database or config
- Common periods: FY 2023, Q4 2023, etc.
- User can create context from template
- Templates customizable per workspace
- API: GET /contexts/templates",xbrl;backend,Backend,
Auto-suggest most used contexts,Task,Low,3,Sprint 9: Context Management,Sprint 9,"When creating tag, suggest 3 most recently used contexts for the report.","- Query last 10 tags in report
- Group by context_id
- Return top 3 by frequency
- Include in tag creation response
- Speeds up tagging workflow",xbrl;backend,Backend,
Implement taxonomy upload (admin),Story,High,5,Sprint 10: Taxonomy Management,Sprint 10,"POST /taxonomies endpoint (super_admin only). Upload ZIP file with taxonomy XSD schemas.","- Multer for ZIP upload
- Extract ZIP to storage (GCS or local)
- Parse taxonomy metadata (name, version, namespace)
- Store in taxonomies table
- Validate ZIP contains required files (.xsd)
- Admin-only endpoint",taxonomy;backend,Backend,
Parse taxonomy metadata,Task,Medium,5,Sprint 10: Taxonomy Management,Sprint 10,"Extract namespace, schemaRefs, concept list from uploaded taxonomy XSD files.","- XML parser for .xsd files
- Extract namespace URI
- Extract schema location
- List all concepts (elements)
- Store in taxonomy.metadata JSONB
- Handle multiple linked schemas",taxonomy;backend,Backend,
Implement workspace taxonomy assignment,Story,High,3,Sprint 10: Taxonomy Management,Sprint 10,"POST /workspaces/:id/taxonomies/:taxonomyId/assign endpoint. Assign taxonomy to workspace. Set default.","- Creates workspace_taxonomies record
- Validates taxonomy is active
- One default taxonomy per workspace
- Admin-only operation
- Unassign endpoint: DELETE /workspaces/:id/taxonomies/:taxonomyId",taxonomy;backend,Backend,
Create taxonomy browsing endpoint,Task,Medium,3,Sprint 10: Taxonomy Management,Sprint 10,"GET /taxonomies/:id/concepts endpoint. Browse taxonomy structure with search and filtering.","- Returns concept tree or flat list
- Search by concept ID or label
- Filter by category/module (e.g., ESRS E1)
- Paginated response
- Cached in Redis (5 min TTL)",taxonomy;backend,Backend,
Implement iXBRL generation service,Story,High,13,Sprint 11: XBRL Export,Sprint 11,"Create service to generate iXBRL XML from report tags and contexts. Multi-taxonomy support (ESRS, GRI, SASB).","- Generates inline XBRL HTML+XML
- Namespace declarations for each taxonomy
- schemaRef links to taxonomy XSD
- Context definitions in header
- Unit definitions (EUR, tCO2e, etc.)
- ix:nonFraction and ix:nonNumeric elements
- Handles tag placement in document text",xbrl;backend,Backend,
Create export endpoint,Story,Medium,5,Sprint 11: XBRL Export,Sprint 11,"POST /reports/:id/export/ixbrl endpoint. Returns iXBRL XML file for download.","- Validates report has tags and contexts
- Calls iXBRL generation service
- Returns XML with proper Content-Type
- Content-Disposition: attachment
- Filename: report-title-ixbrl.xml
- Logs export in audit_logs",xbrl;backend,Backend,
Implement XBRL validation,Task,Medium,3,Sprint 11: XBRL Export,Sprint 11,"POST /reports/:id/validate endpoint. Validate report against taxonomy: missing contexts, invalid concepts, etc.","- Check all tags reference valid contexts
- Check all concept IDs exist in taxonomy
- Check units match concept requirements
- Check decimals are appropriate
- Return errors and warnings
- Does not block export (warnings only)",xbrl;backend,Backend,
Implement report lock acquisition,Story,High,5,Sprint 12: File Locking,Sprint 12,"POST /reports/:id/lock endpoint. Acquire edit lock. Returns 409 if already locked by another user.","- Creates record in report_locks table
- Sets expires_at to 15 minutes from now
- Returns lock details (locked_by, expires_at)
- If already locked by same user: refresh lock
- If locked by other: return 409 with lock details
- Stores client info (IP, user agent)",locking;backend,Backend,
Implement lock refresh (heartbeat),Story,Medium,3,Sprint 12: File Locking,Sprint 12,"PUT /reports/:id/lock/refresh endpoint. Extends lock expiry by 15 minutes. Called every 60 seconds from frontend.","- Updates last_activity_at and expires_at
- Returns new expiry time
- Only lock owner can refresh
- Returns 404 if lock doesn't exist
- Returns 403 if different user",locking;backend,Backend,
Implement lock release,Story,Medium,2,Sprint 12: File Locking,Sprint 12,"DELETE /reports/:id/lock endpoint. Releases lock. Called on save or editor unmount.","- Deletes lock from report_locks table
- Only lock owner can release
- Returns 204 No Content
- Idempotent (no error if lock doesn't exist)
- Audit log entry",locking;backend,Backend,
Create lock status endpoint,Story,Low,2,Sprint 12: File Locking,Sprint 12,"GET /reports/:id/lock endpoint. Check if report is locked and by whom. Used for read-only mode.","- Returns isLocked boolean
- If locked: returns locked_by user details and expires_at
- If not locked: returns null
- Used by frontend to show lock banner
- No authentication required (public within workspace)",locking;backend,Backend,
Implement admin force unlock,Task,Low,2,Sprint 12: File Locking,Sprint 12,"DELETE /reports/:id/lock/force endpoint (admin only). Forcefully remove lock from any user.","- Admin or super_admin only
- Deletes lock regardless of owner
- Sends notification to lock owner (optional)
- Audit log entry with admin user
- Used for stuck locks",locking;backend,Backend,
Create expired lock cleanup cron,Task,Medium,2,Sprint 12: File Locking,Sprint 12,"Cron job runs every 5 minutes. Deletes locks where expires_at < NOW().","- @Cron decorator with '*/5 * * * *' pattern
- Queries locks with expires_at in past
- Deletes expired locks
- Logs count of cleaned locks
- Tested with manual expiry times",locking;backend,Backend,
Write unit tests for core services,Task,High,5,Sprint 13: Testing & Deployment,Sprint 13,"Write Jest unit tests for ReportsService, TagsService, AuthService, LocksService. Target 80% coverage.","- Test files created for 4 services
- Mock repositories with jest.mock
- Test happy paths and error cases
- Coverage report generated
- At least 80% coverage for services",testing;backend,Backend,
Write E2E tests for critical flows,Task,High,5,Sprint 13: Testing & Deployment,Sprint 13,"Write E2E tests: user registration, file upload → tag → export workflow, lock acquisition/release.","- Supertest for HTTP testing
- Test database seeded with fixtures
- Tests isolated (separate test DB)
- 3 critical flows tested end-to-end
- Tests run in CI pipeline",testing;backend,Backend,
Performance optimization,Task,Medium,3,Sprint 13: Testing & Deployment,Sprint 13,"Optimize slow queries, add database indexes, implement Redis caching for taxonomies and PDF cache metadata.","- Slow query log analyzed
- Missing indexes added
- Redis caching for taxonomy concepts (5 min TTL)
- API response time < 200ms (p95)
- PDF processing < 30s for 50 pages",performance;backend,Backend,
Deploy to Google Cloud Run,Task,High,0,Sprint 13: Testing & Deployment,Sprint 13,"Deploy backend to Google Cloud Run. Configure secrets, environment variables, Cloud SQL connection.","- Cloud Run service created
- Docker image pushed to Artifact Registry
- Environment variables configured
- Cloud SQL connector configured
- Redis (Memorystore) connected
- Health check endpoint responds",deployment;backend,DevOps,
